schema,table,column,type,has_comment,comment
public,layer_industrial_yjsgc,name,character varying(100),yes,名称
public,layer_industrial_yjsgc,code,character varying(50),yes,编码
public,layer_industrial_ysc,id,integer,yes,主键ID
public,layer_industrial_ysc,geom,"geometry(Point,4326)",yes,空间几何数据
public,layer_industrial_ysc,x,double precision,yes,X坐标
public,layer_industrial_ysc,y,double precision,yes,Y坐标
public,layer_industrial_ysc,name,character varying(10),yes,名称
public,layer_industrial_ysc,code,character varying(50),yes,编码
public,layer_outlet_sewage,id,integer,yes,主键ID
public,layer_outlet_sewage,x,double precision,yes,X坐标
public,layer_outlet_sewage,y,double precision,yes,Y坐标
public,layer_outlet_sewage,name,character varying,yes,名称
public,layer_outlet_sewage,code,character varying,yes,编码
public,layer_outlet_sewage,jcdbh,character varying,yes,监测点编号
public,layer_outlet_sewage,geom,"geometry(Point,4326)",yes,空间几何数据
public,layer_partition_2,id,integer,yes,主键ID
public,layer_partition_2,geom,"geometry(MultiPolygon,4326)",yes,空间几何数据
public,layer_partition_2,name,character varying(50),yes,分区名称
public,layer_partition_2,name_1,character varying(50),yes,一级分区名称
public,layer_partition_2,area,double precision,yes,面积
public,layer_partition_3,id,integer,yes,主键ID
public,layer_partition_3,geom,"geometry(MultiPolygon,4326)",yes,空间几何数据
public,layer_partition_3,name,character varying(50),yes,分区名称
public,layer_partition_3,name_2,character varying(50),yes,二级分区名称
public,layer_partition_3,name_1,character varying(50),yes,一级分区名称
public,layer_partition_3,area,double precision,yes,面积
public,layer_reservoir_provincial,id,integer,yes,主键ID
public,layer_reservoir_provincial,geom,"geometry(MultiPolygon,4326)",yes,空间几何数据
public,layer_reservoir_provincial,objectid,bigint,yes,对象唯一标识
public,layer_reservoir_provincial,cc,character varying(8),yes,行政区划编码
public,layer_reservoir_provincial,gb,character varying(16),yes,国标编码
public,layer_reservoir_provincial,bas,character varying(16),yes,流域编码
